,News,All,SVO
0,20150715_0,法國巴黎人壽 、台新銀行、富達投信攜手推類全委保單法國巴黎人壽、台新銀行、富達投信合作，以其為唯一銷售通路獨家販售「威利100」類全委投資型保單，其連結的「法國巴黎人壽金采收益投資帳戶」，委託富達投信運用操作，以富達質量化指標，評估總體經濟與市場氛圍後，進行戰略性資產配置，搭配投資帳戶經理人觀點，動態調整資產配置並嚴控市場波動風險。因此，投資人即便面對市場走空，也可放心規劃資產配置，不必害怕自己面臨過多的投資風險；即便風險來臨時，亦可獲得專業經理人的協助，降低風險。法國巴黎人壽表示，一般民眾想要由專業經理人代為操作，享受法人級服務，必須準備為數不少的金額，才能獲得同等服務，「威利100」的保戶最低只要投入10萬元的保費，即可享有與大型法人機構同等級之服務待遇。「威利100」類全委保單，具有以下3大功能，讓保戶靈活運用手中資金，並順利保全資產：1.月撥回＋季加碼分紅，保戶享靈活資金運用「金采收益投資帳戶」採每月撥回機制，每月固定以年化撥回率5％做資產撥回，此外在每年3月、6月、9月及12月，只要每月第一個營業日淨值大於特定條件，就能再領到季度加碼分紅，一來滿足希望有穩定現金流族群之需求，二來透過每季加碼分紅機制，提供保戶靈活運用資金的機會。另外還獨創「季加值給付金」，每季依前三個月最後一個資產評價日之保單帳戶價值的平均值乘以0.025%做為加值給付金，保戶享有穩定的現金流，不必擔心退休後無所依靠。2.雙平台與9種幣別，供保戶自行選擇「威利100」除提供壽險、年金雙平台保單種類，有保障需求之保戶，可選擇有壽險保額的「變額萬能壽險」，無壽險保額需求者，則選擇無保額設計之「變額年金」，另外，「威利100」亦提供包含、美元、等多達九種幣別的保單讓民眾透過類全委保單，一次完成資產、幣別配置及保險保障，滿足人生不同階段的財務目標與風險保障。3.內扣附約，省保費又能拉高保障對保戶來說，選擇「威利100」計價保單，可加購「重大疾病險」與「意外傷害險」的內扣式附約，每月從保單帳戶價值直接扣繳附約保費，不必再另行繳費，內扣式附約零附加費用率的特色。對有保障需求的保戶，只要一張保單，至少能享有2種的保障，省時省荷包一站購足，資產防護更完整。,"[[' 法國巴黎人壽', '推類', '保單'], ['全委', '保單', '法國巴黎人壽'], ['以其', '爲', '巴黎法國人壽金採收益投資帳戶'], ['獨家', '販售', '投資型保單'], ['投資人', '面對', '市場走空'], ['自己', '面臨', '投資風險'], ['法國巴黎人壽', '表示', '享有服務待遇'], ['民衆', '想要', '代爲操作'], ['威利100保戶', '投入', '10萬元保費'], ['第一個營業日淨值', '大於', '特定條件'], ['保戶', '運用', '資金'], ['靈活', '運用', '資金'], ['保戶', '享有', '穩定現金流'], ['除', '提供', '保單'], ['，', '有', '保障需求'], ['選擇變額年金', '無', '保額'], ['威利100', '提供', '保單'], ['對', '有', '保障需求']]"
0,20150715_1,"穆迪維持我國主權信用評等為Aa3 展望穩定財政部今(15)日表示，穆迪(Moody""s)信用評等公司已於7月10日發布對我國國家主權信用評等分析報告，我國外幣及本國貨幣政府債券評等為Aa3，展望穩定，與去(2014)年相同。報告說明我國主權信用評等主要受具競爭力經濟表現、強健外部金融部位及國內高儲蓄率確保高償債能力與低再融資風險所支持，長期成長展望取決於達成更高投資水準。穆迪指出，我國主權信用評等可能調升正向因素包括：政府財政有可持續性盈餘以加速減少政府債務，進行結構性改革以減少高度仰賴出口、促進投資成長及促進銀行業廣泛整併。兩岸地緣政治緊張情勢降低亦為評等正向因素。穆迪認為，立法院於去年5月通過財政健全方案(稅制改革部分)，對財政收入已產生正面影響。相較於2012年及2013年稅收年增率分別為1.8%及2.1%，2014年稅收成長更為快速，年增率為7.7%，2015年上半年稅收持續成長，1月至6月期間相較去年同期增加9.8%。財政部表示，財政健全方案有助於逐步改善政府財政赤字、控管債務及強化財政紀律。政府有充裕財政收入，將可增加政府推動公共建設施政動能，兼顧促進經濟發展，有益國家長遠發展。","[['穆迪', '維持', '等信用評'], ['穆迪維持等信用評', '爲', 'Aa3'], ['15日', '表示', '等信用評公司發佈等對分析報告'], ['等信用評公司', '發佈', '等對分析報告'], ['等外幣', '爲', 'Aa3'], ['報告', '說明', '高儲蓄率確保高償債能力支持'], ['高儲蓄率', '確保', '高償債'], ['高儲蓄率', '確保', '高償債'], ['成長', '取決於', '達成投資水準'], ['穆迪', '指出', '正向因素包括'], ['可能', '調', '等評'], ['政府財政', '有', '可持續性盈餘'], ['政府財政', '有以', '減少仰賴'], ['穆迪', '認爲', '立法院產生正面影響'], ['立法院', '產生', '正面影響'], ['2012年稅收年增率分別', '爲', '1.8%'], ['年增率', '爲', '7.7%'], ['財政部', '表示', '財政健全方案有助於改善政府財政赤字'], ['財政健全方案', '有助於', '改善政府財政赤字'], ['政府', '有', '財政收入'], ['政府', '推動', '施政動能']]"
0,20150715_2,"臺灣銀行、日本三菱東京日聯銀行簽署MOU臺灣銀行與日本三菱東京日聯銀行(The Bank of Tokyo-Mitsubishi UFJ,LTD.)今(15)日於日本三菱東京日聯銀行總行舉辦簽署業務合作備忘錄(MOU)儀式，本次臺灣銀行董事長李紀珠特地親赴東京，與三菱東京日聯銀行頭取(總裁)平野信行共同簽署MOU，顯示兩家銀行對於本次簽署MOU之高度重視。李紀珠也特別設計以金箔繪製的臺銀總行古蹟建築畫，致贈三菱東京日聯銀行，表達友好的善意，而日方為表示對本次簽約的重視，並特別在會場布置了中華民國與日本的國旗。臺灣銀行為臺灣第一大銀行，三菱東京日聯銀行亦為日本第一大銀行，本次共同簽署MOU，將可藉由雙方業務合作的深化與廣化，發揮各自業務利基與優勢，創造雙贏，亦為台日金融合作寫下新頁。臺灣銀行近年來在李紀珠領導下，積極發展國際業務，海外獲利屢創新高，並積極布建海外據點，本次與三菱東京日聯銀行合作計畫，更充分展現臺灣銀行布局亞洲、提升國際能見度的積極企圖心。臺灣銀行與三菱東京日聯銀行多年來即有合作關係，且雙方同感於未來應基於互惠互利的基礎，落實加強交流往來，而於本(104)年5月在亞塞拜然巴庫舉行亞洲開發銀行年會期間，臺灣銀行李紀珠與三菱東京日聯銀行守村卓副頭取(副總裁)進行雙邊會談時，更確定了進一步簽署MOU的意願。在此高度共識下，雙方才能在如此短的時間內完成對MOU內容的討論及進行簽署程序。李紀珠於簽署儀式致詞時表示，臺灣銀行與三菱東京日聯銀行均為各該國內最大銀行，歷史悠久，信譽卓著，本次MOU之簽署，乃結合雙方品牌優勢及業務實力，將有助於雙方合作業務推展及提供客戶更全面化的服務。未來雙方將基於業務發展及互惠互利之原則，就專案融資及聯合貸款、貿易融資、資金支援、人員培訓以及信託保管等方面展開合作與交流，尤其對在台日本企業及海外台灣企業之業務推展方面，可實現優勢互補，共同開創發展契機。三菱東京日聯銀行平野信行頭取致詞時也表示，對於臺灣銀行對臺灣經濟發展的貢獻印象深刻，而此次雙方簽署MOU共同發展業務，是一個「WIN-WIN」的雙贏政策，也有助於台日雙方經濟合作的發展與交流。臺灣銀行經營歷史悠久，穩居國內銀行業龍頭，在台灣及亞太地區的企業金融、消費金融及中小企業等業務均享有優勢的市場競爭力。而三菱東京日聯銀行自1919年成立以來已有近百年歷史，除在日本國內擁有分布密集的服務網外，在海外亦擁有110個營業據點，所屬的「三菱日聯金融集團」更是日本第一大金融集團，在亞洲金融市場占有舉足輕重的地位，本次透過合作備忘錄之簽署，未來將更強化雙方業務合作；共同開拓利基業務與市場。","[['臺灣銀行', '簽署', 'Mitsubishi UFJ'], ['臺灣銀行董事長李紀珠', '親赴', '東京'], ['李紀珠', '設計', '古蹟建築畫'], ['臺灣銀行', '爲', '臺灣第一大銀行'], ['三菱東京日聯銀行', '爲', '日本第一大銀行'], ['本次', '簽署', 'MOU'], ['臺灣銀行', '發展', '國際業務'], ['與合作計劃', '展現', '企圖心'], ['臺灣銀行', '佈局', '亞洲'], ['臺灣銀行', '佈局', '亞洲'], ['臺灣銀行', '有', '合作關係'], ['雙方', '感於', '基於'], ['臺灣銀行李紀珠', '進行', '雙邊會談'], [')', '進行', '雙邊會談'], ['雙方', '完成', '對討論'], ['李紀珠', '表示', '臺灣銀行均爲最大銀行'], ['臺灣銀行', '均爲', '最大銀行'], ['MOU簽署', '結合', '雙方品牌優勢'], ['雙方', '展開', '合作'], ['此次雙方', '簽署', 'MOU發展業務'], ['此次雙方簽署MOU發展業務', '是', '雙贏政策'], ['三菱東京日聯銀行', '已有', '近百年曆史'], ['國內', '擁有', '分佈'], ['所屬三菱日聯金融集團', '更是', '日本第一大金融集團']]"
0,20150715_3,◆投信連續3日賣超個股投信連續3日賣超個股1.投信連續賣超3日的股票(2883)開發金、 (2377)微星  、 (2455)全新  、 (9904)寶成  、 (3035)智原2.投信連續賣超2日的股票(2883)開發金、 (2455)全新  、 (6239)力成  、 (8213)志超  、 (3035)智原3.投信當日(15)賣超的股票(2883)開發金、 (3035)智原  、 (1101)台泥  、 (6239)力成  、 (1301)台塑,[]
0,20150715_4,◆投信連續3日買超個股投信連續3日買超個股1.投信連續買超3日的股票(00639)深100 、 (2823)中壽  、 (006207)FH滬深、 (2618)長榮航、 (3576)新日光2.投信連續買超2日的股票(00639)深100 、 (2823)中壽  、 (2354)鴻準  、 (2618)長榮航、 (2610)華航3.投信當日(15)買超的股票(2610)華航  、 (2823)中壽  、 (2618)長榮航、 (2881)富邦金、 (4904)遠傳,[]
0,20150715_5,◆外資連續5日賣超個股外資連續5日賣超個股1.外資連續賣超5日的股票(2885)元大金、 (2303)聯電  、 (0050)台灣50、 (2330)台積電、 (2887)台新金2.外資連續賣超4日的股票(2885)元大金、 (0050)台灣50、 (2330)台積電、 (2303)聯電  、 (2887)台新金3.外資連續賣超3日的股票(2885)元大金、 (2330)台積電、 (0050)台灣50、 (2325)矽品  、 (2324)仁寶4.外資連續賣超2日的股票(2885)元大金、 (2409)友達  、 (3481)群創  、 (2356)英業達、 (1605)華新5.外資當日(15)賣超的股票(3481)群創  、 (2356)英業達、 (1605)華新  、 (2303)聯電  、 (2324)仁寶,"[['外資', '賣', '個股外資']]"
0,20150715_6,提升出口競爭力 江丙坤：幣值是關鍵台灣出口連續五個月衰退，且國內經濟成長動能疲弱。三三企業交流會理事長江丙坤今天(7/15)表示，想改善經濟表現，首要工作是改善投資環境，在提振出口競爭力方面，除了積極加入區域經濟整合，排除出口障礙之外，幣值也是關鍵。江丙坤指出，貨幣貶值有助出口，貶值使許多日本企業利潤增加，就可把錢投入技術創新、投資，因此可以可以看出，在提升出口競爭力上，幣值是關鍵。江丙坤說:『我想央行彭總裁是相當注意這些發展，在出口競爭力上，幣值是關鍵，對於進出口商來說，都有利有弊，維持穩定是很重要的方向，當如果要提升競爭力，我想在這方面多多考慮』,"[['幣值', '是', '疲弱'], ['三三企業交流會理事長江丙坤', '表示', '想改善經濟表現'], ['首要工作', '是', '改善投資環境'], ['在', '提振', '出口競爭力'], ['幣值', '也是', '關鍵'], ['江丙坤', '指出', '看出幣值是關鍵'], ['貨幣貶值', '有助', '出口'], ['在', '提升', '出口競爭力'], ['幣值', '是', '關鍵'], ['央行彭總裁', '注意', '這些發展'], ['幣值', '是', '關鍵'], ['維持穩定', '是', '很重要方向'], ['我', '想', '考慮']]"
0,20150715_7,自動化大展16日登場 上銀豪氣撒100攤位 機器人現場烤蛋糕2015台灣機器人與智慧自動化展明(16)日起一連4天登場，上銀科技(2049)今年大陣仗以100個攤位參展，展場以「工業4.0最佳夥伴」為主軸，展示研發創新能量，除了體驗智慧自動化完整解決方案外，還有機器人現場烤雞蛋糕、烤鬆餅以及尋找彩繪機器手活動。上銀是國內工具機龍頭業者，自創品牌「HIWIN」，主力產品包括線性滑軌、滾珠螺桿，近年來大力研發工業及醫療用機器人。2015台灣機器人與智慧自動化展為國內最大，明天起一連4天，於台北世界貿易中心南港展覽館登場，向國際展現台灣的研發、製造實力。上銀表示，今年以100個攤位參展，展場以「工業4.0最佳夥伴」為主軸，規劃主秀區、醫療專區、智動專區。「主秀區」有六軸、DELTA、SCARA、WAFER等，搭配熱門音樂，一起舞動奇「機」，讓人目不轉睛。其中，關節式機器手臂為全球工業機器人應用最多的機種，上銀科技研發之關節式機器手臂，不僅外型輕巧，內部關鍵元件更是HIWIN運用核心技術自行開發，除大幅節省成本外，關鍵性零組件也不再受制於德、日…等先進國家，可提供客戶高附加價值之完整解決方案並協助客戶強化在全球市場的競爭力。「醫療專區」方面，有復健機器人、內視鏡手術機器人以及洗澡機器人；下肢肌力訓練機於今年4月剛拿到台灣精品「金質獎」，創新專利性的「非懸吊式驅體支撐系統」設計，讓病患能夠在歩態訓練過程中可同時進行抗重力訓練，免除懸吊式的不舒服感。下肢肌力訓練機產品的關鍵元件與技術為上銀自製，上銀表示，透過垂直整合，創造強大的成本優勢，提供「優質平價醫療」環境，讓有需要的病患都有機會取得適切的治療。「智動專區」方面，則是結合HIWIN產品與工業4.0的運用，以輕鬆貼近生活的方式呈現，如烤雞蛋糕機器人、烤鬆餅機器人、飛抓機器人、預壓檢測機、太陽能追蹤展示機、ＡＢ軸。值得一提的是，深受大朋友小朋友喜愛，結合科技與藝術2大領域的「HIWIN羅伯雙熊」，也將在展覽中現身。,"[['除了', '體驗', '完整解決方案'], ['上銀', '是', '龍頭業者'], ['主力產品', '包括', '線性滑軌'], ['上銀', '表示', '參展'], ['主秀區', '有', '等六軸'], ['關節式機器手臂', '爲', '最多機種'], ['關鍵元件', '更是', '開發'], ['關鍵性零組件', '受制', '先進國家'], ['醫療專區方面', '有', '復健機器人'], ['肌力訓練機', '拿到', '臺灣精品金質獎'], ['關鍵元件', '爲', '上銀自制'], ['上銀', '表示', '創造成本優勢'], ['讓', '有', '需要'], ['智動專區方面', '是', '結合4.0產品運用'], ['輕鬆', '貼近', '生活'], ['現身', '值得', '提'], ['值得提的', '是', '深受大朋友小朋友喜愛']]"
0,20150715_8,搶虛擬實境商機 HTC Vive 下周TGDF首度登台亮相宏達電虛擬實境眼鏡(VR)HTC Vive。(資料照，圖：宏達電提供)宏達電()今年3月初在西班牙巴賽隆納MWC發表虛擬實境眼鏡(VR)HTC Vive，與全球頂尖遊戲開發公司Valve策略合作，聯手進軍虛擬實境市場領域，目前HTC Vive全球巡迴行銷體驗已經陸續展開，下周(7/23-24)則將首度登台，在台北遊戲開發者論壇(TGDF)對外亮相，且將開放給遊戲開發者體驗。根據宏達電先前在MWC所透露的內容，HTC Vive結合Valve旗下的遊戲平台Steam的虛擬實境追蹤及輸入技術，與HTC的創新設計與技術能力，是目前最好的虛擬實境產品，可帶來最真實的虛擬體驗及絕佳的體驗品質，提供每秒高達90幀的高畫質畫面及絕佳的音響效果；搭配HTC與Valve聯手推出的360度環境偵測系統(360 Degree Solution)與追蹤控制器，讓使用者能夠快速進入虛擬世界，在其中盡情走動、探索，從各角度觀察手中物品並與四周環境互動。此外，HTC也提供成對的全新無線虛擬實境控制器，將可廣泛應用於許多虛擬實境體驗，不同於傳統遊戲控制器，HTC虛擬實境控制器以非常容易且直覺的使用方式，讓每個人都能創造出更豐富的體驗。宏達電近期積極進行HTC Vive的行銷體驗活動，外電報導指出，HTC Vive除在歐美舉辦巡迴行銷體驗之外，外傳更與以色列新創公司ReplayTechnology合作，外電進一步報導表示，HTC Vive商用版本最快可在10月中亮相。在HTC Vive消息不斷下，下周則將正式登台亮相，資策會與IGDA台灣分會等國內外單位今年將擴大舉辦台北遊戲開發者論壇(TGDF)，預計7月23、24日登場，HTC Vive將在TGDF亮相，提供遊戲開發商現場體驗。,"[['宏達電', '提供', '宏達電發表實境眼鏡'], ['宏達電', '發表', '實境眼鏡'], ['HTCVive', '結合', '虛擬實境追蹤技術'], ['每秒', '高達', '90幀'], ['HTC', '提供', '實境控制器'], ['宏達電', '進行', '體驗活動'], ['外電報導', '表示', 'ViveHTC亮相'], ['資策', '擴大', 'TGDF']]"
0,20150715_9,宏碁Q2二合一筆電出貨年增8成多 亞太、泛美出貨成長亮眼行動商務與娛樂已成全球化現象，宏碁()今(15)日宣布，二合一筆電市場成長迅速，去年春天推出第一台二合一筆電，今年出貨量持續成長，第2季出貨較去年同期成長81%，已成為該產品領域之領導品牌，就地區而言，第2季宏碁二合一筆電亞太區出貨成長194%，表現最好，其次是泛美與中國大陸，成長率都達114%以上。宏碁表示，輕薄好攜帶的高效能筆電，已成消費者的第一選項，二合一筆電的市場成長迅速，反映了消費者這項需求，國際調研機構預估，今年全球二合一筆電出貨將成長至1344萬台，較去年的868萬台大幅增加54.84%。宏碁指出，2014年春季推出第一台二合一筆電Aspire Switch 10，二合一筆電產品線就呈現多元、多面向的蓬勃發展，根據內部統計，以宏碁該類型產品全球出貨量論，今年第2季與去年同期相較，成長率達81%，已成該領域之領導品牌。就地區而言，宏碁統計，二合一筆電也在全球多個市場大展鴻圖，今年第2季亞太地區出貨量與去年同期相比，成長率194%，超越其他區域，而泛美地區也大幅成長133%，中國成長率114%，表現都相當亮眼。宏碁二合一筆電在市場已受廣大消費者歡迎，根據GFK統計，宏碁二合一筆電在德國、荷蘭、馬來西亞、泰國、葡萄牙、沙烏地阿拉伯、奧地利、印尼、芬蘭、丹麥等國家，都已在今年第1季拿下市佔第一名冠軍寶座。,"[['行動商務', '成', '全球化現象'], ['成長率', '達', '114%以上'], ['宏碁', '表示', '電出貨成長'], ['高效能筆電', '成', '第一選項'], ['電出貨', '成長至', '1344萬臺'], ['宏碁', '指出', '推出二合一筆電Aspire'], ['電產品線', '呈現', '蓬勃發展'], ['成長率', '達', '81%'], ['宏碁二合一筆電', '受', '廣大消費者歡迎'], ['宏碁二合一筆電', '拿下', '市']]"
