,News,All,SVO
0,20130515_0,與外資操作不同調 余睿明：散戶獲利了結是投信賣超關鍵近來外資與投信法人頻頻唱反調，觀察近期外資已連續買超15日，投信卻是持續出脫持股。對此，保德信投信投資長余睿明認為，向來與國際股市有高連動性的台股，近來在美股、亞股續漲與經濟數據表現佳的帶動下，自然獲外資買超，而不少之前慘遭套牢的投資人選擇停利，紛紛獲利了結，是導致投信出脫持股賣超的主因。美股、亞股近期表現強強滾，讓外資連續15日持續買超台股，反觀投信則是持續出脫賣不停，5月以來已連續9天賣超，4月份28個交易日，更有長達24天都賣超，明顯與外資不同調。余睿明指出，外資買超股市主要考量長遠投資利基點，加上國際股市屢傳佳音，買超台股並不意外，然散戶心態則大不同，尤其是套牢許久的散戶，其獲利了結心態更是明顯，近期一漲便急忙贖回，因導致投信頻頻賣超的原因之一。隨著證所稅8500點鍋蓋壓力有望解套，加上美股、亞股持續收紅，帶動台股終場站上8300點大關。屆時證所稅的天險關卡消除，在國際股續漲與經濟層面轉佳的帶動下，台股可望於第4季衝新高，「高點甚至有機會衝至9000點」。外界多半認為，證所稅堪稱是近一年來股市「量能不濟」的最大幫兇。對此，余睿明說，證所稅確實對大戶而言有資金曝光，具實質衝擊；對於散戶而言則是因擔心大戶退場，導致散戶跟著跑，屬心理因素。他認為，一旦證所稅天險鍋蓋拿掉，對台股後市漲幅確實有幫助。展望後市，保德信店頭市場基金經理人賴正鴻指出，今年下半年相對看好中國傳產概念股、低價走機族群與半導體等光電族群，可望因營收展望佳，而帶動股價走揚。,"[['投信', '出', '脫持股'], ['投信投資長餘睿明', '認爲', '是導致投信出脫持股賣超主因'], ['國際股市', '有', '高連動性'], ['有高連動性臺股', '獲', '超'], ['套牢投資人', '選擇', '停利'], ['反觀', '是', '脫賣'], ['餘睿明', '指出', '不同'], ['超股市', '考量', '投資利基點'], ['投信', '賣', '超'], ['美股', '收', '紅'], ['經濟層面', '轉', '佳'], ['經濟層面', '轉', '佳'], ['臺股', '可望', '衝'], ['外界多半', '認爲', '證所稅堪稱'], ['餘睿明', '說', '證有資金曝光'], ['證', '有', '資金曝光'], ['他', '認爲', '有幫助'], ['頭市場基金經理人賴正鴻', '指出', '看好光電族羣']]"
0,20130515_1,證所稅藍初步共識  8500天險取消國民黨立院黨團證所稅檢討小組今天晚間舉行第一次會議，會中達成初步共識，會議主席立委費鴻泰表示，會議的結論包含IPO維持不變，8500點天險取消，每年交易量超過10億以上的大戶，超過部分的差額採設算為主、核實為輔雙軌制，課徵千分之1的證所稅。國民黨立院黨團書記長賴士葆也表示，這樣的修法方向，如果能在明天的國民黨立院黨團大會中做成決議，可望在下周一就排入立院財委會中進行審查。賴士葆更樂觀的預期，七月份立院臨時會時，就有機會完成證所稅的修法。,"[['所稅檢討小組', '舉行', '第一次會議'], ['會議主席立委費鴻泰', '表示', '會議結論包含不變'], ['會議結論', '包含', '不變'], ['交易量', '超過', '10億以上'], ['，', '超過', '部分'], ['國民黨立院黨團書記長賴士葆', '表示', '望排入立院財委會中'], ['修法方向', '做成', '決議']]"
0,20130515_2,外資續買　拉現貨結算期貨台股今天在期貨結算效應帶動之下，上演拉尾盤收高站上八千三的戲碼，外資拉現貨結算期貨，今天再度加碼50.32億。自營商也站在買方，小買5億以上；投信礙於投資人贖回壓力，高檔持續減碼，今天賣超6.64億，合計三大法人買超49.19億。（張佳琪報導）台股又創新高挺進八千三，外資扮演重要角色。這一波外資期、現貨同步做多，硬把台股推上新高，結算前一天，外資還有一萬六千口的多單未平倉，這是相當高的部位，也因此，因應期貨結算，外資繼續加碼，拉高現貨指數，以利期貨獲利。外資週三大買金融股與面板股，群創是買超第一大，買超張數2萬4千，並且買超彩晶1萬4千張、友達9千8百多張、華映3千9百多張。金融股方面，外資買進焦點是元大金、新光金、中信金、富邦金、國泰金等等。至於財報不盡理想的鴻海，外資失望性賣壓出籠，週三大舉賣超3萬3千張，是單日賣超第一大，後續如果持續減碼，恐怕重創股價。本土法人小進小出，投信因應投資人贖回壓力減碼6億多，賣超寶成、聯電、光寶科、佳格、中信金、群創等個股。相較之下，自營商心態偏向積極，跟著外資一起做多。由於週三大盤成交量明顯增加，代表市場追價信心增強，大盤後市留意外資動向以及資金動能表現。,"[['拉現貨結算期貨臺股', '上演', '八千三戲碼'], ['自營商', '站在', '買方'], ['投信', '礙於', '投資人贖回壓力'], ['張佳琪報導臺股', '創新', '高'], ['外資', '扮演', '重要角色'], ['外資', '還有', '一萬六千口多單未平倉'], ['這', '是', '高部位'], ['外資', '拉高', '現貨指數'], ['外資', '買', '金融股'], ['外資', '買進', '外資'], ['買進外資焦點', '是', '等等元大金'], ['後續', '減', '碼'], ['本土法人', '小進', '小出'], ['贖回壓力', '減', '碼'], ['大盤後市', '留', '意外資動向'], ['大盤後市', '留', '意外資動向']]"
0,20130515_3,證所稅取消8500點天險 1年交易超過10億部分課計千分之1財政部長張盛和今(15)日晚上與立委費鴻泰、賴士葆等討論新版的證所稅。(鉅亨網記者黃佩珊攝)財政部長張盛和、金融監督管理委員會主委陳裕璋今(15)日晚上與立委費鴻泰、賴士葆等討論新版的證所稅。會中決議8500點天險取消，104年後1年交易金額超過10億元的部分，加計千分之1做為課徵標準，但如果盈虧互抵，投資人認為沒有獲利，就核實申報，新修正案最快立法院這個會期通過。由於8500點課徵門檻，及售出金額達10億元以上大戶民國104年將核實課稅的問題，最多人反映，因此，今日證所稅檢討聚焦此2大議題。朝向更簡便、稽徵成本更低的方式調整。財政部長張盛和表示，相信新版本的證所稅應該會比現在好，可以收得到稅，也能維持租稅公平。去年6月證所稅在立法過程中，因版本眾多、意見紛歧，財政部接受由立委主導的證所稅課徵版本時，因為立法過程倉促，並未察覺，2015年日出的「10億元大戶」核實課稅條款，按全年「售股成交金額」做為課徵稅基，會出現實質稅負過重的結果，現在改為超過10億元部分才需加計千分之1做為課徵標準，但投資人如果沒有獲利，可選擇盈虧相抵、核實申報。新修正案最快立法院這個會期通過。,"[['1年交易', '超過', '10億部分'], ['15日晚上張盛', '討論', '新版證所稅'], ['金融監督管理委員會主委陳裕璋', '討論', '新版證所稅'], ['交易金額', '超過', '10億元'], ['交易金額', '超過', '10億元'], ['投資人', '認爲', '獲利'], ['10億元以上大戶民國', '覈實', '課稅'], ['朝向', '調整', '更簡便方式'], ['和', '表示', '相信好'], ['財政部接受', '徵', '版本'], ['大戶', '覈實', '課稅條款'], ['「', '售', '股']]"
0,20130515_4,南六黃清山：日本不織布供需有缺口 日元貶受惠更多！不織布大廠南六()今天獲邀參與證交所業績發表會，由於日本為南六重要市場之一，法人關心貶值是否對業績帶來影響？南六董事長黃清山表示，日本不織布供需缺口約有8萬噸以上，貶值帶動日本企業出口成長，這波貶值趨勢中，南六將可受惠。南六首季財報繳出亮麗成績，首季合併營收9.72億元，年增16.59%，單季毛利率19.39%，較去年同期15.18%成長逾4個百分點，首季淨利6309萬元，年增率高達94%，每股稅後盈餘0.98元。黃清山表示，南六去年各地區銷售比重，台灣、大陸各34%，日本14%，亞洲其他地區15%。日本市場部分，日本不織布國內產量約32萬噸，但需求量達40萬噸，如貶值，有助於日本企業出口，需求量可望再攀升，對於南六的業績反而有利。南六在大陸市場部分，今年的策略為繼續提升市占率，目前中國前10大濕巾品牌中，南六客戶占6成，隨大陸十二五「鄉村城鎮化」與「一胎化政策」鬆綁，帶動嬰兒、成人潔膚用、生理清潔用柔濕巾需求大幅持續成長，黃清山透露，南六目前產能已經「緊繃」，正在大陸平湖廠緊急增設新生產線，第2季隨新產線加入，將可再推升業績。黃清山對於今年業績展望，也強調隨新產能陸續加入營運，第2季起面膜與大陸4個省分郵局合作銷售，也可望挹注業績，因此下半年業績將可優於上半年。對於今年的成長，「不以去年的成長幅度為滿足」。,"[['日本', '織布', '供需'], ['日本', '爲', '南六重要市場之一'], ['貶值', '帶來', '影響'], ['南六董事長黃清山', '表示', '日本織布供需缺口有8萬噸以上'], ['日本', '織布', '供需缺口'], ['日本織布供需缺口', '有', '8萬噸以上'], ['貶值', '帶動', '日本企業出口'], ['南六首季財報', '繳出', '亮麗成績'], ['15.18%成長', '逾', '4個百分點'], ['年增率', '高達', '94%'], ['黃清山', '表示', '比重'], ['需求量', '達', '40萬噸'], ['今年策略', '爲', '提升市佔率'], ['六客戶', '佔', '6成'], ['黃清山', '透露', '緊繃'], ['黃清山', '強調', '加入營運'], ['第2季起面膜', '分', '郵局'], ['下半年業績', '優於', '上半年']]"
0,20130515_5,〈權證〉大立光股王、認購王雙喜臨門！長虹、儒鴻傳產新兵助攻台股今((15)日午盤過後電金權值股攜手上攻，尤其大立光()再度奪回股王寶座，激勵大盤尾盤一陣急拉，終場上漲66.77點，以8318.59點作收，成功衝破8300點關卡，在權證市場中，儘管認購成交額占總市場比僅維持昨日的85%水準，但坐回股王寶座的大立光認購額衝上億元，認購占比也創近4個交易日新高，雙喜臨門同步登上「認購王」寶座，而認購續添新兵長虹()和儒鴻()，也是可留意的方向。大立光第1季每股稅後盈餘13.79元，遠優於漢微科(3658-TW)的8.04元，且預估第2季出貨量及營收將優於第1季，激勵今股價一度強勢漲停，認購方同步加碼歡慶，成交額一舉飆增逾9000萬元來到1.25億元，擠下鴻海()榮登認購王，認購占比也來到75%創上周四以來新高。除了大立光外，外資瑞銀證券表示，半導體供應鏈4月營收優於往年，主因是中國白牌智慧手機及平板需求強勁，喊進聯發科()與台積電()，聯發科今股價雖僅維持平盤上小漲之勢，但認購成交額續增逾千萬元來到9600萬元，認購占比也連4增，並衝上81%。從認購熱門榜觀察，除了大立光、聯發科多方買盤持續護主，包括鴻海、可成()和台積電等多方處按兵不動，後市電子權值股能否成為盤面主流還要觀察。不讓電子股專美於前，傳產股中，營建股長虹因第1季稅後EPS 19.72元，穩居營建股獲利冠，吸引多方加碼暴增1倍至2000萬元之上；而儒鴻不僅第1季獲利交出好成績，外資紛表看好，摩根大通更是大喊加碼，目標價上看260元，激勵認購多方一日內籌碼激增至2000萬元之上，準備大搶波段行情。永豐金證券衍生商品部則表示，因傳統淡季衝擊，鴻海首季獲利低於預期，但因鴻海正進入轉型期，未來也將加速地往八屏一網一雲推進，近期營運表現受到影響，應屬短線效應，投資人若想搶短可布局連結鴻海的認售權證如永豐2U(03495P)，目前價外接近價平，買賣價差小且隱含波動率低。,"[['大立光', '奪回', '股王寶座'], ['認購佔比', '創近', '4個交易日新高'], ['雙喜臨門', '續添', ')'], ['預估第2季出貨量', '優於', '第1季'], ['佔比', '來到', '75%'], ['外資瑞銀證券', '表示', '4月營收優'], ['主因', '是', '強勁'], ['今股價', '維持', '小漲勢'], ['後市電子權值股', '成爲', '盤面主流'], ['儒鴻', '交出', '好成績'], ['永豐金證券衍生商品部', '表示', '推進'], ['鴻海首季獲利', '低於', '預期'], ['鴻海', '進入', '轉型期'], ['營運表現', '受到', '影響'], ['投資人', '若想', '搶短認售權證'], ['可佈局', '連結', '鴻海']]"
0,20130515_6,菲律賓毫無誠意 第二波反制8項措施準時啟動行政院長江宜樺宣布正式對菲律賓啟動第2階段反制。 (圖：行政院提供)行政院長江宜樺於今(15)日晚間記者會表示，我國政府無法接受菲律賓對此事件毫無誠意解決之態度，立即啟動第二波8項反制措施，並於今下午6時起生效。江宜樺也表示，已中斷菲勞來臺的申請，我國駐菲律賓代表也將在今晚返臺，菲國駐華代表則預定明天搭機返回菲律賓。江宜樺說，針對菲律賓公務船槍擊我漁船一案，擔任菲律賓特使的馬尼拉經濟文化辦事處理事主席裴瑞茲雖已於中午抵臺，但缺乏菲國總統的充分授權，且菲國政府也未於今日下午6時前，對我政府先前所提出之四項要求給予善意回應。江宜樺表示，菲律賓總統府發言人已在今日下午3時44分發出正式聲明，表示菲律賓總統已指派裴瑞茲代表他前來臺灣，表達他本人及菲律賓人民對洪石成先生家屬及臺灣人民的深切遺憾與歉意。此一聲明代表菲律賓官方對我方的正式道歉，我們予以肯定，但是聲明中提到「洪石成先生的死亡是一件不幸且非意料中的生命喪失」，對此，我方完全無法接受。他說，「廣大興28號」船身彈痕累累，散佈船隻各個角落，我方無法接受這是疏忽、非意圖的行為。江宜樺說，菲律賓政府一方面表達歉意，但又表示此非故意的殺人事件，整個處理拖泥帶水，避重就輕，且對我方提出的正式要求皆無給予正式、完全的回應。菲國說詞反覆、誠意不足，且菲律賓執法人員於我專屬經濟海域殺害我漁民，已違反國際法、海洋法及人道精神，且其案發後對事件缺乏解決誠意；當我國祭出制裁時，菲國卻虛應故事，含糊其辭，並在與我國談判時，刻意拖延。我方對此完全無法認同，所以政府會持續對菲律賓政府表達強烈譴責及抗議。有關今日開始實施的三項對菲制裁，江宜樺表示，政府已中斷菲勞來臺的申請，我國駐菲律賓代表也將在今晚返臺，菲國駐華代表則預定明天搭機返回菲律賓。我方對菲正式啟動第二階段經濟抵制。8項抵制包含：菲律賓旅遊警示燈號調為紅色、停止台菲雙邊交流含WHA部長會議、停止菲方經濟交流推廣招商、停止台菲漁業合作、停止科技交流合作、停止台菲航權談判、停止菲律賓來台的免簽許可、我將辦理海上聯合操演。此外，國安會為監控我方各項反制措施的執行，已成立對菲律賓制裁措施的應變監督小組，行政院各部會都會指派高層級人員參與此小組。行政院會與總統府國安會保持密切聯繫，直到菲律賓政府感受到我方壓力、做出正確的回應為止。江宜樺強調，政府會積極捍衛主權，結合國軍與海巡署實力，密集巡弋我專屬海域，保護漁民，並優先提供優厚慰問金給受害漁民家屬，同時持續向菲律賓政府施壓，要求其做出合理賠償，政府絕不容許任何國家有損害我國民安全與國家尊嚴之情事。政府也再次呼籲國人繼續團結一致，共同對菲律賓政府施壓，但切勿訴諸激情，應理性對待菲律賓人民及在臺灣工作的菲律賓勞工，以顯示我國民主法治的精神。江宜樺也於記者會中呼籲國際社會重視此一事件，聲援我無辜受害漁民，而政府也將加強對國際社會的論述，並訓令外館加強對國際的發聲，強調我國面對爭議時的理性務實態度與愛好和平、解決爭端的精神。,"[['菲律賓', '毫無', '誠意'], ['第二波', '制', '8項措施'], ['行政院', '提供', '晚間記者會表示我國政府接受對此事件毫無解決態度'], ['晚間記者會', '表示', '我國政府接受對此事件毫無解決態度'], ['我國政府', '接受', '對此事件毫無解決態度'], ['對此事件', '毫無', '解決'], ['對此事件', '毫無', '解決'], ['江宜樺', '表示', '中斷菲勞來臺申請'], ['我國', '駐', '菲律賓'], ['駐華代表', '預定', '返回菲律賓'], ['江宜樺', '說', '菲國政府給予善意回應'], ['公務船', '槍擊', '我漁船'], ['公務船', '槍擊', '我漁船'], ['理事主席裴瑞茲', '抵', '臺'], ['菲國政府', '給予', '善意回應'], ['江宜樺', '表示', '菲律賓總統府發言人分發正式聲明'], ['菲律賓總統府發言人', '分發', '正式聲明'], ['我們', '予以', '肯定'], ['先生洪石成死亡', '是', '生命喪失'], ['他', '說', '累累'], ['這', '是', '疏忽行爲'], ['江宜樺', '說', '表示殺人事件'], ['菲律賓政府', '表達', '歉意'], ['執法人員', '殺害', '我漁民'], ['我國', '祭出', '制裁'], ['我國', '祭出', '制裁'], ['菲國', '虛應', '故事'], ['政府', '表達', '強烈譴責'], ['今日', '開始', '實施'], ['三項', '對', '菲'], ['江宜樺', '表示', '政府中斷菲勞來臺申請'], ['政府', '中斷', '菲勞來臺申請'], ['我國', '駐', '菲律賓'], ['駐華代表', '預定', '返回菲律賓'], ['對菲', '啓動', '經濟抵制'], ['菲律賓', '來', '臺'], ['我', '辦理', '聯合操演'], ['爲執行', '成立', '監督小組'], ['行政院會', '保持', '密切聯繫'], ['菲律賓政府', '感受到', '我方壓力'], ['江宜樺', '強調', '政府捍衛主權'], ['政府', '捍衛', '主權'], ['我', '專屬', '海域'], ['政府', '容許', '任何國家有損害我國民安全情事'], ['任何國家', '有', '損害我國民安全情事'], ['江宜樺', '呼籲', '國際社會重視此一事件'], ['國際社會', '重視', '此一事件'], ['我', '受害', '漁民'], ['政府', '加強', '對論述'], ['與', '愛好', '和平']]"
0,20130515_7,業界首創！歐買尬「168線上遊戲加盟網」正式上線台灣遊戲界締造驚人創舉，線上遊戲開放加盟！線上遊戲商歐買尬()旗下「168線上遊戲加盟網」，今(15)日隆重上線，提供有意成為遊戲營運商的加盟主，一個潛力無窮的創業機會，歐買尬表示，玩家可以運用OMG豐富的資源，打造夢想中的遊戲王國，自訂「遊戲規章」、「怪物掉寶率」、「商城物品與價格」等內容，並擁有「舉辦活動」、「GM權限」、「專屬網站」等權力。歐買尬指出，在「168線上遊戲加盟網」中，每款遊戲皆由OMG正式授權、加盟主合法經營，獨一無二的客製化遊戲伺服器，玩法豐富、選擇多樣化。同時，OMG保證提供安全的會員購點儲值與轉換點數管道，交易100%安心有保障，同時免經驗、免技術、免設備，輕輕鬆鬆擁有自己的加盟伺服器。歐買尬進一步表示，只要成為加盟主，營運遊戲伺服器所需的專屬網站、會員介接、金流建置、機房頻寬、後台報表等全方位整合規劃服務，通通幫您搞定，另為您直接導入OMG650萬實名會員、社群會員帳號，以及提供完善的專業教育訓練、活動頁面設計、行銷招募廣告等，幫您省去創業前的準備與規劃，輕鬆加盟、快速上手。此外，歐買尬將率先開放《RF Online》與《聖魔之血》兩款遊戲的加盟伺服器諮詢，其中《聖魔之血》加盟伺服器將於5月22日正式OB；而《RF Online》加盟伺服器預計在6月下旬正式營運，請大家拭目以待！OMG未來將陸續開放更多遊戲加盟方案，包括：《新飛飛》、《LUNA2》、《奇夢之星》等遊戲。歐買尬將於6月14-17日假台北世貿1館登場的「2013台灣國際連鎖加盟暨創業大展」上，將設有OMG加盟伺服器攤位，若想要更進一步了解此專案可前往洽詢。,"[['有意', '成爲', '遊戲營運商'], ['歐買尬', '表示', '玩家運用豐富資源'], ['玩家', '運用', '豐富資源'], ['歐買尬', '指出', '由'], ['每款遊戲', '由', '客製化遊戲伺服器'], ['OMG', '保證', '擁有加盟伺服器'], ['與', '轉換', '點數'], ['安心', '有', '保障'], ['您', '導入', 'OMG650萬實名會員'], ['歐買尬', '開放', '加盟伺服器'], ['OMG', '開放', '加盟方案'], ['買尬', '設有', '加盟伺服器攤位']]"
0,20130515_8,F-龍燈羅昌庚：首季虧損預料中！Q2賺錢 今年營運比去年好F-龍燈董事長羅昌庚表示，下半年在新增通路佈局發酵下，全年營收獲利仍會優於去年。(鉅亨網記者張旭宏攝)全球知名植物保護劑大廠龍燈環球(F-龍燈)()今(15)日參大寶來證券所主辦的海外企業論壇，會中公告首季財報，受到新產品及通路據點增加導致營業費用升高，拖累獲利虧損9300萬元，每股淨損0.78元，董事長羅昌庚解釋，因為第一季是淡季，為了以後的營運成長大舉擴展通路設點費用持續投入，因此首季虧損是預料中的事，但是第2季因費用都已認完，因此就會開始賺錢，下半年在新增通路佈局發酵下，全年營收獲利仍會優於去年。F-龍燈首季營收15.67億元，年增13%，但稅後淨損9300萬元，每股虧損0.78元，主要是佈局新藥證的登記及銷售據點增加，以致營業費用年增31%，加上首季本來就是傳統的淡季，以致單季轉虧，羅昌庚表示，營收跟毛利依舊成長，在南北半球、季節互補的雙軸市場策略，首季有不錯的表現，其中拉丁美洲營收成長41%，中國成長10%，而歐洲受今年冬天延後影響，營收下滑23%，不過，2009年與2010年首季也呈虧損，但不影響全年表現。羅昌庚強調，在龍燈資產中，藥證是最重要的資產，全世界的藥證數量已由2011年的728張增加到2013年3月的825張，研發及申請中的藥證數量為577 張，當中包括歐盟的藥證153張。以區域來看，歐盟有133張、南美洲共同市場207張、中美共同市場91張、中國則為149張、SSA撒哈拉沙漠以南的非洲國家89張、中東71張及北美自由貿易區53張，散布在全球各主要農產地，預計將成為營業收入不斷成長的主要動能。羅昌庚指出，農業作物保護劑在研發過程因對象種類多、環境變數亦多，不論專利藥或學名藥均需要提供毒性或對環境殘留影響等相關實驗數據，一般國家會對廠商提出的數據提供保護，稱為數據保護。也因為數據保護的政策，在專利和非專利產品之間，創造出更大的中間市場，稱之為PPP（Proprietary post-patent）具專屬性的專利後產品。而數據製造需要時間、金錢及技術，造成原廠和國際大廠掌握全球近9成的市場，一般區域性公司只能分割出一成多的市場，所以未來只有原廠或國際大廠才能競爭。羅昌庚表示，龍燈的主要產品農業作物保護劑與人用藥的505(b)2類似，原料藥及劑型設計為產品決勝點，而龍燈經過多年的努力，累積深厚原料藥及劑型改良專長，在全球擁有44項新的發明在全球專利保護之下，共提出112個專利申請並已取得其中14個。目前擁有的112個專利種類分別為81個植物保護劑的製劑專利、23個新組合及新用途的植物保護劑專利、6個化學合成步驟專利及2個動物用藥的製劑專利。羅昌庚信心喊話，雖然首季虧損，但是第2季就會開始賺錢，加上今年巴西幣兌美元持穩，因此匯兌衝擊將大幅降低，全年營收獲利將會優於去年，另外以藥證申請到完整通路佈局約需5年來看，2014年起這些新藥證的效益將逐步發揮，2015年步入高峰。,"[['F-龍燈董事長羅昌庚', '表示', '營收穫利優於去年'], ['營收穫利', '優於', '去年'], ['巨亨網記者張旭宏', '攝', '公告論壇'], ['第一季', '是', '淡季'], ['虧損', '是', '預料中事'], ['營收穫利', '優於', '去年'], ['每股', '虧損', '0.78元'], ['年', '增', '31%'], ['羅昌庚', '表示', '營收成長'], ['羅昌庚', '強調', '藥證是重要資產'], ['藥證', '是', '重要資產'], ['全世界藥證數量', '增加到', '2013年3月825張'], ['藥證數量', '爲', '張577'], ['當中', '包括', '153張藥證'], ['歐盟', '有', '53張'], ['中國', '爲', '149張'], ['羅昌庚', '指出', '多'], ['專利藥', '需要', '提供實驗數據'], ['國家', '提供', '保護'], ['Proprietary', 'post', 'patent'], ['）', '具', '專屬性'], ['數據製造', '需要', '時間'], ['原廠', '掌握', '9成'], ['國際大廠', '掌握', '9成'], ['區域性公司', '分割', '一成多市場'], ['羅昌庚', '表示', '類似'], ['龍燈', '累積', '深厚原料藥'], ['專利種類', '爲', '製劑專利'], ['羅昌庚', '喊', '話'], ['第2季', '開始', '賺錢'], ['巴西幣', '兌', '美元'], ['營收穫利', '優於', '去年']]"
0,20130515_9,弘煜科技年內登興櫃 月月推新作 日本營收占比6成起台灣遊戲開發商弘煜科技籌劃預定年內公開發行興櫃，若一切順利，最快約明年掛牌。弘煜科技總經理洪而立表示，該公司預定月月推出新作品，且在遊戲大國日本可以說耕耘多年佔有一席之地，來自日本營收占比約6成起。弘煜科技「童話大戰Web」預定明天不刪檔封測，同時仰賴智冠通路發行。弘煜總經理洪而立指出，該作已被LINE開發商NHN(035420-KS)相中。他也說，該公司在追求獲利與股東權益提高原則，今年的計畫以手遊跟網遊為主，且市場反饋方面，網遊成績已是可以「超越MMO」平均表現，遊戲授權囊括亞洲主要市場並傾向於依產品特性與業者特長。弘煜科技旗下的自製遊戲「風色幻想」早先頗受市場青睞，該公司曾獲智冠()、宇峻()入股30%，雙方各半。弘煜科技在台員工約80人，當中網遊開發團隊約50人、手機方面遊戲因引擎相同與網遊而使開發人員可互為後援。弘煜科技股本約為8000萬元，去年每股盈餘(EPS)約在5至6元的水準，來自日本營收占比6成至7成左右。洪而立說，該公司未來也不只侷限於日本市場，也希望與東方鴻展合作後在台港澳、中國大陸、東南亞、韓國有捷報。弘煜科技年內預定公開發行興櫃，並陸續增資至3億元。基於弘煜科技已投資宇峻日本子公司「Userjoy Japan」並持股16%左右，短期無於日本設立子公司規劃，目前正評估赴中國設立研發子公司。產品上市方面，弘煜劉昱昌協理表示，該公司預定一月推一款遊戲，包含「童話大戰WEB」今年預計將推9-10款網頁遊戲，且每一款網頁遊戲皆有對應的行動版本並逐步依消費者特性區隔。行動付費部分，弘煜科技在此區塊技術早已準備完畢，但基於不同平台拆帳差異，仍正觀察市場成熟變化。,"[['6成營收佔比', '6成', '預定'], ['該公司', '預定', '月月推出新作品'], ['月月', '推出', '新作品'], ['耕耘', '佔有', '一席之地'], ['約', '6成', '起'], ['他', '說', '今年計劃爲主'], ['在', '追求', '獲利'], ['網遊成績', '是', '平均表現'], ['遊戲授權', '囊括', '主要市場'], ['自制遊戲風色幻想', '受', '市場青睞'], ['該公司', '獲', ')智冠'], ['科技股本', '爲', '8000萬元'], ['每股盈餘EPS', '在', '5水準'], ['該公司', '侷限於', '日本市場'], ['弘煜科技', '預定', '發行興櫃'], ['弘煜劉昱昌協理', '表示', '推一款遊戲'], ['該公司', '預定', '一月'], ['網頁遊戲', '有', '行動版本'], ['不同平臺', '拆', '帳'], ['不同平臺', '拆', '帳']]"
